time,genre
0,horror
1,notHorror
2,notHorror
3,notHorror
4,notHorror
5,notHorror
6,notHorror
7,notHorror
8,notHorror
9,notHorror
10,notHorror
11,horror
12,notHorror
13,notHorror
14,notHorror
15,notHorror
16,notHorror
17,notHorror
18,notHorror
19,notHorror
20,notHorror
21,notHorror
22,horror
23,notHorror
24,notHorror
25,notHorror
26,notHorror
27,notHorror
28,notHorror
29,notHorror
30,notHorror
31,notHorror
32,notHorror
33,horror
34,notHorror
35,notHorror
36,notHorror
37,notHorror
38,notHorror
39,notHorror
40,notHorror
41,notHorror
42,notHorror
43,horror
44,horror
45,horror
46,horror
47,horror
48,horror
49,horror
50,horror
51,horror
52,horror
53,horror
